                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     75,                 1.0129,                0.99559,                 1.2692,                 0.3889,                0.28106,                0.26638,                0.14008,                 1.6807,                 1.8216,                 1.7582,             0.00029708,             0.00029708,             0.00029708
                     76,                0.98858,                0.98202,                 1.2518,                0.36879,                 0.3125,                0.26905,                0.13595,                  1.678,                 1.8192,                 1.7506,             0.00028608,             0.00028608,             0.00028608
                     77,                0.99108,                0.98098,                 1.2571,                 0.3443,                 0.3227,                0.28785,                0.14991,                 1.6786,                  1.815,                 1.7738,             0.00027508,             0.00027508,             0.00027508
                     78,                0.98832,                0.99323,                 1.2597,                0.30165,                0.37084,                0.27356,                0.14256,                 1.6683,                  1.838,                 1.7504,             0.00026408,             0.00026408,             0.00026408
                     79,                 1.0165,                 1.0071,                 1.2695,                0.35563,                0.33675,                0.27611,                0.14093,                 1.6554,                 1.8364,                 1.7455,             0.00025309,             0.00025309,             0.00025309
                     80,                0.98506,                0.96519,                 1.2561,                0.30685,                0.34928,                0.28113,                0.14884,                 1.6893,                 1.8831,                 1.7729,             0.00024209,             0.00024209,             0.00024209
                     81,                0.97641,                0.96437,                 1.2498,                0.30263,                0.37702,                0.27552,                0.14107,                   1.66,                 1.8021,                 1.7536,             0.00023109,             0.00023109,             0.00023109
                     82,                0.98466,                0.96667,                 1.2485,                0.34954,                 0.3249,                0.26619,                 0.1354,                 1.6841,                 1.8521,                 1.7715,             0.00022009,             0.00022009,             0.00022009
                     83,                0.96219,                 0.9346,                 1.2318,                0.34124,                0.32554,                0.27288,                0.14031,                 1.6857,                  1.843,                 1.7679,             0.00020909,             0.00020909,             0.00020909
                     84,                0.97446,                0.94623,                 1.2433,                0.37382,                 0.3214,                0.27886,                0.14339,                 1.6896,                 1.8527,                 1.7581,             0.00019809,             0.00019809,             0.00019809
                     85,                0.94049,                0.92217,                  1.219,                 0.3473,                0.34582,                0.27621,                0.14327,                 1.6865,                 1.8461,                 1.7659,             0.00018709,             0.00018709,             0.00018709
                     86,                0.95447,                0.92307,                 1.2269,                0.37792,                0.31131,                0.27749,                  0.142,                 1.6656,                  1.876,                 1.7494,             0.00017609,             0.00017609,             0.00017609
                     87,                0.94811,                0.90518,                 1.2189,                0.36462,                0.32596,                0.26891,                0.14045,                 1.6718,                 1.8952,                 1.7604,             0.00016509,             0.00016509,             0.00016509
                     88,                0.93938,                0.89991,                  1.209,                0.34292,                0.32939,                0.26875,                0.13858,                 1.6733,                   1.86,                  1.759,              0.0001541,              0.0001541,              0.0001541
